Time (sec),SetpointLivingZone,Text.T
1107900,21,3.29333
1108800,21,3.28667
1109700,21,3.28
1110600,21,3.27333
1111500,21,3.26667
1112400,21,3.26
1113300,21,3.25333
1114200,21,3.24667
1115100,16,3.24
1116000,16,3.23333
1116900,16,3.22667
1117800,16,3.22
1118700,16,3.21333
1119600,16,3.20667
1120500,16,3.2
1121400,16,3.19333
1122300,16,3.18667
1123200,16,3.18
1124100,16,3.17333
1125000,16,3.16667
1125900,16,3.16
1126800,16,3.15333
1127700,16,3.14667
1128600,16,3.14
1129500,16,3.13333
1130400,16,3.12667
1131300,16,3.12
1132200,16,3.11333
1133100,16,3.10667
1134000,16,3.1
1134900,16,3.09333
1135800,16,3.08667
1136700,16,3.08
1137600,16,3.07333
1138500,16,3.06667
1139400,16,3.06
1140300,16,3.05333
1141200,16,3.04667
1142100,16,3.04
1143000,16,3.03333
1143900,16,3.02667
1144800,16,3.02
1145700,16,3.01333
1146600,16,3.00667
1147500,16,3
1148400,21,2.99333
1149300,21,2.98667
1150200,21,2.98
1151100,21,2.97333
1152000,21,2.96667
1152900,21,2.96
1153800,21,2.95333
1154700,21,2.94667
1155600,21,2.94
1156500,21,2.93333
1157400,21,2.92667
1158300,21,2.92
1159200,21,2.91333
1160100,21,2.90667
1161000,21,2.9
1161900,21,2.89333
1162800,21,2.88667
1163700,21,2.88
1164600,21,2.87333
1165500,21,2.86667
1166400,21,2.86
1167300,21,2.85333
1168200,21,2.84667
1169100,21,2.84
1170000,21,2.83333
1170900,21,2.82667
1171800,21,2.82
1172700,21,2.81333
1173600,21,2.80667
1174500,21,2.8
1175400,21,2.79333
1176300,21,2.78667
1177200,21,2.78
1178100,21,2.77333
1179000,21,2.76667
1179900,21,2.76
1180800,21,2.75333
1181700,21,2.74667
1182600,21,2.74
1183500,21,2.73333
1184400,21,2.72667
1185300,21,2.72
1186200,21,2.71333
1187100,21,2.70667
1188000,21,2.7
1188900,21,2.69333
1189800,21,2.68667
1190700,21,2.68
1191600,21,2.67333
1192500,21,2.66667
1193400,21,2.66
1194300,21,2.65333
1195200,21,2.64667
1196100,21,2.64
1197000,21,2.63333
1197900,21,2.62667
1198800,21,2.62
1199700,21,2.61333
1200600,21,2.60667
1201500,16,2.6
1202400,16,2.59333
1203300,16,2.58667
1204200,16,2.58
1205100,16,2.57333
